16.5.2024. - 09:30 :,36,43,38,12,47,27,23,6,41,21,18,2,11,28,42,5,40,30,9,32,13,39,31,34,17,29,25,37,19,35,24,4,16,22,3
16.5.2024. - 09:35 :,7,10,30,12,38,27,33,6,43,26,16,41,35,1,21,44,23,2,34,14,24,29,32,39,9,13,3,42,45,47,17,25,36,19,18
16.5.2024. - 09:40 :,32,6,18,29,28,36,45,14,10,24,41,33,35,37,1,16,3,34,17,21,25,46,2,38,44,22,13,19,11,42,47,5,23,8,15
16.5.2024. - 09:45 :,44,31,12,29,17,45,27,46,25,23,43,28,16,3,11,19,41,32,7,40,9,21,10,20,33,42,18,34,15,48,5,4,24,47,1
16.5.2024. - 09:50 :,26,43,40,18,35,45,7,37,11,31,38,19,48,30,22,5,13,34,17,47,44,9,23,28,14,24,21,41,29,25,6,2,4,15,12
16.5.2024. - 09:55 :,5,28,13,39,22,35,18,8,12,30,1,46,21,44,36,26,24,19,45,47,25,6,16,15,43,48,3,42,41,31,10,4,38,37,32
16.5.2024. - 10:00 :,43,30,10,38,35,26,16,23,33,9,32,45,41,37,11,7,14,5,21,1,42,18,34,20,27,4,48,22,40,36,3,28,25,15,47
16.5.2024. - 10:05 :,7,30,26,47,39,14,48,4,16,6,35,33,43,2,42,45,12,19,17,28,44,41,20,27,11,9,15,40,8,46,22,37,18,1,38
16.5.2024. - 10:10 :,36,26,44,8,46,4,25,14,24,35,21,10,45,39,40,19,17,33,47,15,31,6,48,5,9,16,30,3,20,34,22,23,11,7,43
16.5.2024. - 10:15 :,30,20,35,36,42,48,4,8,43,45,46,38,40,29,21,33,24,31,15,6,18,23,11,34,14,9,13,2,16,1,27,32,25,26,28
16.5.2024. - 10:20 :,17,11,27,36,23,33,35,16,8,7,34,30,21,4,20,6,31,37,42,26,9,41,3,2,45,46,19,18,28,48,38,14,24,22,10
